노선번호,정류장명
11,어울림마을입구
11,어울림마을7단지
11,성사2동행정복지센터
11,고양어울림누리.달빛마을1단지
11,화정1동행정복지센터
11,명지병원.달빛마을3단지
11,화정동단독주택단지
11,화정역.덕양구청
11,별빛마을8단지.롯데마트
11,근린공원
11,화정2동행정복지센터
11,옥빛17단지.롯데마트고양점
11,샘터3단지.고양시교통정보센터
11,샘터마을2단지.신능중학교
11,무원마을.단독주택단지
11,행신역
11,무원마을3단지
11,무원마을.단독주택단지
11,샘터마을2단지.신능중학교
11,햇빛18단지.롯데마트고양점
11,화정2동행정복지센터
11,근린공원
11,화정역.롯데마트
11,덕양구청
11,화정동단독주택단지
11,명지병원.은빛마을5단지
11,화정1동행정복지센터
11,고양어울림누리.달빛마을1단지
11,성사2동행정복지센터
11,어울림마을7단지
11,어울림마을입구
11,성사1동행정복지센터
11,롯데캐슬.원당시장
11,삼혜그린뷰아파트
11,고양시청.덕양구보건소
11,양조장입구
11,원당중학교
11,식사오거리.영심동마을
11,고양시도로관리사업소차량등록과
11,풍3동
11,성원에이스아파트
11,백마역
11,백마중학교
11,백석고등학교
11,백신중학교.이마트
11,마두역(중)
11,일산동구청(중)
11,일산동부경찰서(중)
11,강선마을(중)
11,주엽역(중)
11,문촌초등학교
11,오마초등학교
11,신촌초등학교.일산서구청소년수련관
11,일산역
11,산들마을5단지
11,일산서구보건소
11,북일산전화국.일산2동행정복지센터
11,쌍용아파트.중산마을입구
11,중산마을10단지.동신아파트
11,중산마을11단지.현대아파트.삼성아파트
11,중산중학교.중산마을5단지
11,해태쇼핑.중산사거리
11,고봉초교.중산고교
11,고양송암고등학교
11,부대앞
11,상감천마을
11,청석궁.성석동감내
11,성석동
150,장터고개.맥금동영업소
150,배무기
150,검산초등학교
150,유승아파트
150,성원아파트
150,대방아파트
150,풀무골
150,문산제일고
150,문산제일고삼거리
150,방호벽사거리
150,독점말.대방노블랜드2차아파트
150,금촌동문아파트
150,팜스프링아파트
150,금촌농협
150,금촌역
150,금촌전통시장입구
150,순달교
150,금촌교
150,하지석동입구
150,교하파출소
150,이마트파주점
150,당하동삼거리
